IP,REG,fi,seg,result_class,FUC,INS,INS_FULL,Masked,Crash,Dynamic Execution,Masked%,Crash%,INS_type,CrashOnSameIP
461f58,rax,177929,1284,crash,<hypre_ParCSRRelaxThreads._omp_fn.2>,mov,"mov, (%rdx,%rcx,1),%rax",0,1,1.102093,75.89285714285714,24.107142857142858,DATAXFER,0.4
48019e,rax,208359,161,masked,<hypre_CSRMatrixMatvecOutOfPlace._omp_fn.6>,cmp,"cmp, %rax,%rdx",1,0,1.310155,75.22123893805309,24.778761061946906,CONDITION,0.3684210526315789
426cf4,rsi,216499,300,masked,<hypre_BoomerAMGBuildMultipass._omp_fn.10>,cmp,"cmp, %rax,(%rsi)",1,0,1.365811,75.65217391304348,24.347826086956523,CONDITION,0.0
480190,rdx,216499,300,crash,<hypre_CSRMatrixMatvecOutOfPlace._omp_fn.6>,mov,"mov, (%rdi,%rdx,8),%rcx",0,1,1.365811,75.43859649122807,24.56140350877193,DATAXFER,0.42105263157894735
4576ec,rflags,279463,1368,masked,<hypre_BoomerAMGCreate2ndS._omp_fn.10>,cmpq,"cmpq, $0x0,(%rsi,%rdx,8)",1,0,1.796321,75.86206896551724,24.13793103448276,UnKnown,0.1111111111111111
461f41,rax,284068,428,masked,<hypre_ParCSRRelaxThreads._omp_fn.2>,add,"add, $0x1,%rax",1,0,1.827807,75.21367521367522,24.786324786324787,INTEGER,0.26744186046511625
461f41,rcx,313090,1388,masked,<hypre_ParCSRRelaxThreads._omp_fn.2>,add,"add, $0x1,%rax",1,0,2.026242,75.42372881355932,24.57627118644068,INTEGER,0.26744186046511625
48019e,rsi,313090,1388,masked,<hypre_CSRMatrixMatvecOutOfPlace._omp_fn.6>,cmp,"cmp, %rax,%rdx",1,0,2.026242,75.63025210084034,24.369747899159663,CONDITION,0.3684210526315789
403553,rflags,350524,1062,masked,<BuildIJLaplacian27pt._omp_fn.0>,imul,"imul, %r8,%r13",1,0,2.282193,76.42276422764228,23.577235772357724,INTEGER,0.0
4572bf,xmm0,350524,1062,masked,<hypre_BoomerAMGCreate2ndS._omp_fn.10>,cmp,"cmp, %rax,(%r9)",1,0,2.282193,76.03305785123968,23.96694214876033,CONDITION,0.3333333333333333
48036e,rax,350524,1062,masked,<hypre_CSRMatrixMatvecOutOfPlace._omp_fn.6>,cmp,"cmp, %rcx,%rdx",1,0,2.282193,75.83333333333333,24.166666666666668,CONDITION,0.3
4824fb,r9,350524,1062,masked,<hypre_SeqVectorAxpy._omp_fn.3>,add,"add, $0x1,%rdx",1,0,2.282193,76.22950819672131,23.770491803278688,INTEGER,0.6666666666666666
