IP,REG,fi,seg,result_class,FUC,INS,INS_FULL,Masked,Crash,Sdc,Dynamic Execution,Masked%,Crash%,Sdc%,Masked%+Sdc%,INS_type,Unnamed: 17,0x4209bb,CrashOnSameIP
42bead,rflags,388697876,11584,masked,<HPL_lmul>,test,"test, %ecx,%ecx",1,0,0,79.845562,24.87562189,6.965174129,68.15920398,93.03482587,CONDITION,,,0.0
42be7e,xmm4,388739999,1513,sdc,<HPL_lmul>,shr,"shr, $0x10,%r11d",0,0,1,79.854215,24.87562189,7.462686567,67.66169154,92.53731343,SHIFT,,,0.0
42bdfc,xmm3,388826130,10081,sdc,<HPL_ladd>,shr,"shr, $0x10,%eax",0,0,1,79.871908,24.87562189,7.462686567,67.66169154,92.53731343,SHIFT,,,0.0
42be9d,xmm1,388875524,6083,sdc,<HPL_lmul>,imul,"imul, %r9d,%ebx",0,0,1,79.882054,24.87562189,7.462686567,67.66169154,92.53731343,INTEGER,,,0.0
42bf00,rflags,388908948,9890,sdc,<HPL_lmul>,cmp,"cmp, $0x4,%rcx",0,0,1,79.88892,24.87562189,7.462686567,67.66169154,92.53731343,CONDITION,,,0.20085470085470086
42be8a,rbx,388909495,6875,sdc,<HPL_lmul>,xor,"xor, %ecx,%ecx",0,0,1,79.889033,24.87562189,7.462686567,67.66169154,92.53731343,LOGICAL,,,0.9074074074074074
42be4a,rbx,388944631,3403,sdc,<HPL_lmul>,mov,"mov, (%rdi),%r11d",0,0,1,79.89625,24.87562189,7.462686567,67.66169154,92.53731343,DATAXFER,,,0.0
42bef8,r8,388973439,5842,crash,<HPL_lmul>,add,"add, $0x1,%rcx",0,1,0,79.902168,24.87562189,7.462686567,67.66169154,92.53731343,INTEGER,,,0.9689119170984456
42bf00,rdi,388973830,5162,sdc,<HPL_lmul>,cmp,"cmp, $0x4,%rcx",0,0,1,79.902249,25.37313433,7.462686567,67.1641791,92.53731343,CONDITION,,,0.20085470085470086
420ae0,,389021107,3906,sdc,<HPL_rand>,mulsd,"mulsd, %xmm0,%xmm1",0,0,1,79.91196,25.37313433,7.462686567,67.1641791,92.53731343,FP,,,0.0
42bdd8,rbx,389032703,11655,masked,<HPL_ladd>,mov,"mov, 0x4(%rdi),%esi",1,0,0,79.914342,25.37313433,7.462686567,67.1641791,92.53731343,DATAXFER,,,0.0
