IP,REG,fi,seg,result_class,FUC,INS,INS_FULL,Masked,Crash,Dynamic Execution,Masked%,Crash%,INS_type,CrashOnSameIP
401430,rax,108617532,181,masked,<find_nearest_point>,cmp,"cmp, %r8d,%esi",1,0,49.066563,79.60199004975124,20.39800995024876,CONDITION,0.19310344827586207
40142c,rflags,108617532,181,masked,<find_nearest_point>,add,"add, $0x1,%r8",1,0,49.066563,80.09950248756219,19.90049751243781,INTEGER,0.22133333333333333
40142c,rflags,108617532,181,masked,<find_nearest_point>,add,"add, $0x1,%r8",1,0,49.066563,80.09950248756219,19.90049751243781,INTEGER,0.22133333333333333
40142c,rflags,108617532,181,masked,<find_nearest_point>,add,"add, $0x1,%r8",1,0,49.066563,80.09950248756219,19.90049751243781,INTEGER,0.22133333333333333
40142c,rax,108617532,181,masked,<find_nearest_point>,add,"add, $0x1,%r8",1,0,49.066563,80.09950248756219,19.90049751243781,INTEGER,0.22133333333333333
40140d,r9,108633275,1326,masked,<find_nearest_point>,mov,"mov, (%rdx,%r10,8),%r9",1,0,49.073747,79.60199004975124,20.39800995024876,DATAXFER,0.17391304347826086
40156c,rax,108959062,448,crash,<kmeans_clustering._omp_fn.0>,cmp,"cmp, %eax,%ebx",0,1,49.222409,80.09950248756219,19.90049751243781,CONDITION,0.136986301369863
401430,xmm0,109008986,464,crash,<find_nearest_point>,cmp,"cmp, %r8d,%esi",0,1,49.245191,80.09950248756219,19.90049751243781,CONDITION,0.19310344827586207
401448,rflags,109971447,213,masked,<find_nearest_point>,add,"add, $0x1,%r10",1,0,49.684379,80.09950248756219,19.90049751243781,INTEGER,0.18181818181818182
401430,rsi,110356531,420,crash,<find_nearest_point>,cmp,"cmp, %r8d,%esi",0,1,49.860099,80.09950248756219,19.90049751243781,CONDITION,0.19310344827586207
401430,rflags,110527416,564,masked,<find_nearest_point>,cmp,"cmp, %r8d,%esi",1,0,49.938077,80.09950248756219,19.90049751243781,CONDITION,0.19310344827586207
40144c,xmm0,110843307,459,crash,<find_nearest_point>,cmp,"cmp, %r10d,%ecx",0,1,50.082224,80.09950248756219,19.90049751243781,CONDITION,0.25
40142c,rflags,110843307,459,crash,<find_nearest_point>,add,"add, $0x1,%r8",0,1,50.082224,80.09950248756219,19.90049751243781,INTEGER,0.22133333333333333
401426,r8,110843307,459,crash,<find_nearest_point>,subss,"subss, (%r9,%r8,4),%xmm0",0,1,50.082224,80.09950248756219,19.90049751243781,FP,0.24444444444444444
401433,rflags,110843307,459,masked,<find_nearest_point>,mulss,"mulss, %xmm0,%xmm0",1,0,50.082224,80.09950248756219,19.90049751243781,FP,0.15384615384615385
401430,rax,110843307,459,crash,<find_nearest_point>,cmp,"cmp, %r8d,%esi",0,1,50.082224,80.09950248756219,19.90049751243781,CONDITION,0.19310344827586207
40143d,rcx,111332538,443,masked,<find_nearest_point>,ucomiss,"ucomiss, %xmm1,%xmm2",1,0,50.305468,80.09950248756219,19.90049751243781,CONDITION,0.09090909090909091
401430,r8,111479823,353,masked,<find_nearest_point>,cmp,"cmp, %r8d,%esi",1,0,50.372677,80.09950248756219,19.90049751243781,CONDITION,0.19310344827586207
40142c,rflags,111560041,91,masked,<find_nearest_point>,add,"add, $0x1,%r8",1,0,50.409282,80.09950248756219,19.90049751243781,INTEGER,0.22133333333333333
401433,r9,111810391,449,masked,<find_nearest_point>,mulss,"mulss, %xmm0,%xmm0",1,0,50.523521,79.60199004975124,20.39800995024876,FP,0.15384615384615385
401430,rdx,111810391,449,masked,<find_nearest_point>,cmp,"cmp, %r8d,%esi",1,0,50.523521,79.60199004975124,20.39800995024876,CONDITION,0.19310344827586207
40142c,r14,111810391,449,masked,<find_nearest_point>,add,"add, $0x1,%r8",1,0,50.523521,79.60199004975124,20.39800995024876,INTEGER,0.22133333333333333
401420,xmm1,112622157,182,masked,<find_nearest_point>,movss,"movss, (%rdi,%r8,4),%xmm0",1,0,50.893944,80.59701492537313,19.402985074626866,DATAXFER,0.13043478260869565
