loop_name,COUNT,CRASHC,Crash%
loop__386.csv,1714,665,0.3880
loop__387.csv,1714,665,0.3880
loop__407.csv,1714,665,0.3880
loop__409.csv,1714,665,0.3880
loop__412.csv,1714,665,0.3880
loop__413.csv,1714,665,0.3880
loop__414.csv,1714,665,0.3880
loop__420.csv,1714,665,0.3880
loop__421.csv,1714,665,0.3880
loop__423.csv,1714,665,0.3880
loop__424.csv,1714,665,0.3880
loop__436.csv,1714,665,0.3880
loop__437.csv,1714,665,0.3880
loop__445.csv,1714,665,0.3880
loop__446.csv,1714,665,0.3880
loop__449.csv,1714,665,0.3880
loop__450.csv,1714,665,0.3880
loop__451.csv,1714,665,0.3880
loop__491.csv,1714,665,0.3880
loop__497.csv,1714,665,0.3880
loop__499.csv,1714,665,0.3880
loop__502.csv,1714,665,0.3880
loop__503.csv,1714,665,0.3880
loop__531.csv,1714,665,0.3880
loop__578.csv,1714,665,0.3880
loop__582.csv,1714,665,0.3880
loop__586.csv,1714,665,0.3880
loop__604.csv,1714,665,0.3880
loop__605.csv,1714,665,0.3880
loop__606.csv,1714,665,0.3880
loop__607.csv,1714,665,0.3880
loop__608.csv,1714,665,0.3880
loop__609.csv,1714,665,0.3880
loop__610.csv,1714,665,0.3880
loop__611.csv,1714,665,0.3880
loop__612.csv,1714,665,0.3880
loop__634.csv,1714,665,0.3880
loop__635.csv,1714,665,0.3880
loop__652.csv,1714,665,0.3880
loop__682.csv,1714,665,0.3880
loop__689.csv,1714,665,0.3880
loop__714.csv,1714,665,0.3880
loop__723.csv,1714,665,0.3880
loop__836.csv,1714,665,0.3880
loop__843.csv,1714,665,0.3880
loop__844.csv,1714,665,0.3880
loop__852.csv,1714,665,0.3880
loop__854.csv,1714,665,0.3880
loop__855.csv,1714,665,0.3880
loop__863.csv,1714,665,0.3880
loop__880.csv,1714,665,0.3880
loop__881.csv,1714,665,0.3880
loop__882.csv,1714,665,0.3880
loop__888.csv,1714,665,0.3880
loop__891.csv,1714,665,0.3880
loop__935.csv,1714,665,0.3880
loop__960.csv,1714,665,0.3880
loop__961.csv,1714,665,0.3880
loop__970.csv,1714,665,0.3880
loop__971.csv,1714,665,0.3880
loop__972.csv,1714,665,0.3880
