IP,CrashOnSameIP,count
0x40fcdc,0.0,8
0x40fce1,72.72727272727273,11
0x40fce6,16.666666666666668,6
0x40fcea,0.0,5
0x40fcef,0.0,7
0x40fcf3,0.0,6
0x40fcf7,0.0,7
0x40fcfb,0.0,9
0x40fd00,0.0,4
0x40fd04,8.333333333333334,12
0x40fd08,0.0,5
0x40fd0c,0.0,9
0x40fd16,0.0,4
0x40fd1a,0.0,2
0x40fd24,0.0,2
0x40fd29,72.72727272727273,11
0x40fd2e,0.0,4
0x40fd31,0.0,7
0x40fd36,50.0,6
0x40fd3a,25.0,4
0x40fd3e,50.0,2
0x40fd42,0.0,5
0x40fd46,0.0,5
0x40fd4b,16.666666666666668,6
0x40fd4f,0.0,6
0x40fd53,0.0,9
0x40fd57,0.0,2
0x40fd6c,50.0,4
0x40fd71,100.0,2
0x40fd74,0.0,4
0x40fd78,0.0,1
0x40fd7c,0.0,3
0x40fd80,0.0,3
0x40fd84,0.0,1
0x40fd88,0.0,3
0x40fd90,95.65217391304348,23
0x40fd94,82.3529411764706,17
0x40fd98,65.38461538461539,26
0x40fd9c,57.142857142857146,14
0x40fda0,3.4482758620689653,29
0x40fda4,76.19047619047619,21
0x40fda7,0.0,21
0x40fdab,84.61538461538461,26
0x40fdaf,13.636363636363637,22
0x40fdb3,9.090909090909092,22
0x40fdb7,72.22222222222223,18
0x40fdbc,0.0,22
0x40fdc0,0.0,18
0x40fdc4,3.8461538461538463,26
0x40fdc8,8.695652173913043,23
0x40fdcc,0.0,22
0x40fdd0,0.0,24
0x40fdd4,0.0,32
0x40fdd8,0.0,24
0x40fddc,0.0,17
0x40fde0,0.0,23
0x40fdf0,100.0,3
0x40fdf4,100.0,1
0x40fdfe,0.0,3
0x40fe10,56.25,16
0x40fe20,0.0,1
0x40fe30,100.0,1
0x40fe34,50.0,2
0x40fe3b,50.0,2
0x40fe53,50.0,2
0x40fe5e,100.0,1
0x40fe66,100.0,1
0x40fe69,100.0,1
0x40feb0,0.0,1
0x40feb4,100.0,2
0x40feb6,0.0,2
0x40febb,20.0,5
0x40fec0,0.0,2
0x40fec4,0.0,5
0x40fec8,0.0,5
0x40fecd,0.0,5
0x40fed1,0.0,2
0x40fee0,4.761904761904762,21
0x40fee5,0.0,24
0x40feea,4.761904761904762,21
0x40feee,0.0,18
0x40fef4,5.0,20
0x40fef9,4.3478260869565215,23
0x40fefd,0.0,19
0x40ff02,0.0,16
0x40ff06,0.0,21
0x40ff0a,4.761904761904762,21
0x40ff0f,4.0,25
0x40ff15,3.125,32
0x40ff19,0.0,19
0x40ff1d,0.0,21
0x40ff23,7.407407407407407,27
0x40ff28,0.0,34
0x40ff2d,0.0,21
0x40ff32,0.0,28
0x40ff37,6.25,16
0x40ff3b,5.2631578947368425,19
0x40ff40,0.0,17
0x40ff44,0.0,18
0x40ff4a,100.0,20
0x40ff4e,4.0,25
0x40ff52,26.31578947368421,19
0x40ff56,0.0,29
0x40ff5a,0.0,15
0x40ff5e,0.0,11
0x40ff63,5.555555555555555,18
0x40ff68,3.225806451612903,31
0x40ff72,0.0,3
0x40ff7a,0.0,5
0x40ff82,0.0,4
0x40ff87,0.0,2
0x40ff8c,0.0,2
0x40ff91,0.0,1
0x40ff96,0.0,3
0x40ff9a,0.0,3
0x40ffa3,50.0,2
0x40ffa8,0.0,4
0x40ffad,0.0,3
0x40ffb2,0.0,3
0x40ffb6,0.0,2
0x40ffc2,100.0,1
0x40ffc8,100.0,2
0x40ffca,100.0,1
0x40ffcd,100.0,1
0x40ffd4,0.0,1
0x40ffdf,0.0,1
0x410008,0.0,1
0x41000b,0.0,1
0x41001a,0.0,1
0x410041,0.0,1
0x410044,0.0,1
0x41007d,0.0,2
0x41008c,0.0,1
0x410096,100.0,1
0x41009d,0.0,2
0x4100a5,0.0,1
0x4100b0,50.0,2
0x4100b8,0.0,2
0x4100c4,0.0,1
0x4100f2,100.0,1
0x4100f5,0.0,1
0x4100fa,0.0,1
0x410109,0.0,2
0x41010e,0.0,2
0x410118,100.0,2
0x41011a,0.0,2
0x410125,0.0,1
0x41012a,0.0,1
0x410134,0.0,2
0x41013d,0.0,2
0x410142,100.0,1
0x41014a,0.0,3
0x410153,0.0,1
0x410157,100.0,1
0x41015f,50.0,2
0x410162,0.0,2
0x41016c,100.0,4
0x410177,50.0,2
0x410185,0.0,1
0x410191,0.0,1
0x410196,0.0,1
0x41019a,0.0,6
0x41019f,0.0,1
0x4101a3,0.0,1
0x4101a8,0.0,2
0x4101ad,0.0,2
0x4101b2,0.0,4
0x4101bd,0.0,3
0x4101c8,0.0,1
0x4101d3,0.0,3
0x410211,0.0,5
0x410217,0.0,1
0x41021b,0.0,4
0x410221,0.0,2
0x41022a,0.0,3
0x410230,0.0,1
0x410237,0.0,3
0x41023d,0.0,4
0x410243,0.0,3
0x410249,0.0,2
0x41024d,0.0,3
0x410251,0.0,2
0x410257,0.0,2
0x41025d,0.0,2
0x410262,0.0,3
0x410269,0.0,3
0x410275,0.0,1
0x41027c,33.333333333333336,3
0x41028e,0.0,3
0x410292,0.0,3
0x410296,0.0,2
0x41029a,0.0,3
0x41029e,0.0,3
0x4102a2,0.0,1
0x4102a6,33.333333333333336,3
0x4102ab,0.0,2
0x4102af,0.0,4
0x4102b4,0.0,3
0x4102ba,0.0,1
0x4102bf,0.0,3
0x4102c4,0.0,3
0x4102c9,0.0,2
0x4102dc,0.0,5
0x410304,0.0,1
0x41030b,100.0,3
0x410443,100.0,1
0x41044c,0.0,1
0x41046b,0.0,1
0x410472,0.0,1
0x410476,0.0,1
0x4104b1,0.0,1
0x410535,0.0,1
0x410558,0.0,1
0x41055b,0.0,1
0x41056f,0.0,1
0x410572,0.0,1
0x41057a,0.0,1
0x410584,0.0,1
0x410586,0.0,2
0x410594,0.0,1
0x4105cc,0.0,1
0x4105d2,0.0,1
0x4105d9,0.0,1
0x41061a,0.0,1
0x410622,0.0,1
0x41062e,0.0,1
0x410642,75.0,4
0x41064c,100.0,6
0x410661,0.0,1
0x410675,0.0,2
0x4106ac,0.0,1
0x4106b4,0.0,2
0x4106bc,0.0,1
0x4106c9,0.0,1
0x4106d1,0.0,1
0x4106d5,0.0,3
0x4106d7,0.0,1
0x41072b,0.0,1
0x41075b,100.0,1
0x410787,0.0,1
0x4107f8,100.0,1
0x410800,100.0,1
0x41083e,0.0,1
0x410841,100.0,1
0x410849,0.0,2
0x410850,0.0,2
0x410854,0.0,1
0x410858,0.0,3
0x41085c,100.0,4
0x410860,100.0,4
0x410862,50.0,2
0x410869,0.0,2
0x41086d,0.0,1
0x41087a,100.0,3
0x41087e,33.333333333333336,3
0x4127ec,0.0,1
0x4127f8,0.0,1
0x4127fc,100.0,3
0x412810,0.0,6
0x412812,75.0,8
0x412816,0.0,7
0x41281a,0.0,7
0x41281f,100.0,1
0x41282b,100.0,1
0x412c5d,100.0,1
0x412c80,100.0,2
0x412c88,100.0,1
0x412c9e,100.0,3
0x412cae,0.0,1
0x412cc0,0.0,2
0x412cc5,33.333333333333336,3
0x412ccb,0.0,2
0x412cce,0.0,1
0x412cd1,0.0,2
0x412cda,0.0,3
0x412cdd,0.0,2
0x412ce0,0.0,4
0x412ce5,0.0,2
0x412ce8,0.0,3
0x412ceb,0.0,13
0x412ced,0.0,12
0x412cf4,6.666666666666667,15
0x412cf8,0.0,15
0x412cfb,0.0,11
0x412cff,0.0,12
0x412d03,0.0,4
0x412d08,0.0,17
0x412d0d,15.384615384615385,13
0x412d12,0.0,8
0x412d17,0.0,5
0x412d1c,0.0,9
0x412d1f,0.0,16
0x412d23,0.0,8
0x412d27,0.0,6
0x412d29,0.0,7
0x412d2b,0.0,5
0x412d30,0.0,15
0x412d3d,90.0,10
0x412d40,0.0,6
0x412d43,33.333333333333336,18
0x412d48,0.0,5
0x412d4b,66.66666666666667,3
0x412d50,0.0,3
0x412d53,20.0,5
0x412d57,100.0,2
0x412d5b,0.0,6
0x412d6a,0.0,5
0x412d7e,100.0,1
0x412d9e,0.0,1
0x412da8,100.0,1
0x412dd0,80.0,15
0x412dd8,45.45454545454545,11
0x412dda,100.0,4
0x412de3,0.0,6
0x412def,0.0,10
0x412f3a,10.0,10
0x412f3e,10.0,10
0x412f42,63.63636363636363,11
0x412f4a,46.15384615384615,13
0x412f53,85.71428571428571,7
0x412f58,16.666666666666668,12
0x4133d2,0.0,1
0x4133d7,0.0,1
0x4133ec,100.0,1
0x413466,0.0,1
0x413489,100.0,1
0x413491,100.0,1
0x4134b2,0.0,1
0x4134cd,50.0,2
0x4134cf,0.0,1
0x4134d9,0.0,1
0x4134ed,0.0,2
0x4134f9,0.0,1
0x413505,0.0,2
0x413508,0.0,5
0x41350c,0.0,3
0x413511,0.0,3
0x41351c,0.0,1
0x413520,0.0,4
0x413527,0.0,2
0x413531,0.0,1
0x413557,0.0,2
0x41355c,0.0,1
0x413562,0.0,2
0x413568,0.0,2
0x41356d,0.0,3
0x413572,0.0,2
0x413576,0.0,2
0x413580,50.0,2
0x413583,0.0,7
0x413586,0.0,3
0x413589,0.0,4
0x41358b,0.0,3
0x41358d,0.0,6
0x413596,100.0,1
0x41359d,0.0,3
0x4135a0,0.0,5
0x4135a3,0.0,1
0x4135a6,0.0,1
0x413736,0.0,2
0x41373b,0.0,5
0x413770,0.0,5
0x413779,0.0,2
0x413786,0.0,2
0x41378e,0.0,5
0x413797,25.0,4
0x4137b0,0.0,3
