,,,,,,,,,,,,,,,,PSUBB,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PABSB,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PSIGNB,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,DIVSD,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,MOVNTDQA,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,MULSD,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,MAXPD,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PMOVSXBW,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,CMPPD,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,MULSS,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,ADDSS,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,RCPSS,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PMOVSXWD,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,UNPCKLPS,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PMULDQ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PSUBD,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,SQRTSD,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PCMPEQW,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PINSRW,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PMAXSD,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PACKUSWB,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PMAXUD,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PINSRQ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PSRLDQ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,MINPD,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,SUBSS,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PCMPGTQ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PBLENDVB,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PINSRD,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PSHUFLW,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PSUBUSW,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PSLLD,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,HSUBPS,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,MULPD,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,MAXSS,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PAVGB,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PMADDWD,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PMULLW,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PSRLD,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,FXSAVE,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PCMPESTRM64,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,CMPPS,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PMOVZXBD,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,SUBPD,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUNPCKLBW,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,SUBSD,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,DPPS,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,ADDPD,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PADDUSB,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PCMPISTRM,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PHSUBD,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,FXSAVE64,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PHADDD,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PCMPEQB,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,ADDSUBPS,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,MULPS,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PSUBUSB,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PEXTRQ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,RCPPS,,,,,,,,,,,,,,,,,,,,,,
